input,output
"OTHELLO: 
FROM BEGINNER TO MASTER 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 


	
	
	
	

















Othello: From Beginner to Master – A Few Words 
Copyright © 2003, Randy Fang 
 
A FEW WORDS 
After the 2003 US National Championships, I set out on a mission to do what few others have even 
attempted – to write a book about Othello.  Former World Champion Brian Rose has been writing his 
book for over 3 years and every time I asked the other tournament regulars about it, there was no new 
news on it.  I finally decided that I was tired of waiting and started to work on my own book. 
 
While most of my counterparts are usually only playing against other top players, I play many games 
against people who are still learning, and I think I have special insight into the kinds of questions that 
they might have.  I’ve put a lot of effort into the diagrams and exercises, in fact, many of the exercises 
in this book are based on positions that I consistently see beginning level players misplay. 
 
I’m sure that there are mistakes in this version.  In fact, every time I go through it I find one more thing 
I need to fix, however, I think that the form that it is in now is suitable for general consumption.  I’m still 
working on the rest of the book.  It’s taken me three full months to get through the beginner material.  I
According to the above context, answer the following question.
What does the author do for a living?",He is a professional Othello player.
"Read the following article and answer the question.
Article: imagine it will take me three months to four months get through the intermediate section, and another 
three months to four months get through the advanced section.   
 
Once I finish all of this and re-edit it (add a table of contents, for instance), I intend to look for a 
publisher.  If there is no interest in it from the established publishing community, I will be looking into 
selling it (the thought of printing out copies at Kinko’s and shipping them myself has crossed my 
mind).  Part of the reason I’m giving this away is that it’s good for the Othello community.  I’m also 
hoping that people will like it and it will generate interest in my book.  If you have any comments, or 
you would like to point out any serious errors, please feel free to do so.  I’ve set up a Yahoo group 
specifically for discussion about the book at http://groups.yahoo.com/group/randysothellobook. 
 
Happy Flipping, 
 
Randy Fang 
October 26, 2003
Othello: From Beginner to Master – Forward  
Copyright © 2003, Randy Fang 
* OTHELLO IS A REGISTERED TRADEMARK OF ANJAR CO. 
INTRODUCTION 
Forward 
 
You’re probably reading this book because you want to learn how to play Othello™* well.  Maybe 
you’ve just learned the game or maybe you don’t know it at all.  My goal is to speed up the process to 
mastery by stepping you through many of the lessons that every master level player has learned 
through hard work and a lot of practice. I’ll start off at the most basic level and progress from basic
Question: What is the author’s purpose in writing the book?
Answer:",To teach readers how to play Othello.
"principles to some of the more flexible principles and exceptions that Master level players apply in 
championship level play. 
 
In essence, what I’m trying to do is write the Othello equivalent of Nimzovich’s My System (a chess 
book).  At the current time, there is no book in the Othello world to form the basis for discussion and 
analysis of games.  Most master level discussions in the US occur over a real board at infrequent 
tournaments and I’ve tried to present as much of the terminology as possible.  By no means is all the 
information complete and it’s only as accurate as myself and the people I’ve consulted while writing 
the material.  Just like My System has done in chess – this book is meant to provide a basis for 
analytical discussion as well as revisions and exceptions to the theories presented. 
 
I’d also like to take this opportunity to thank everyone who is involved in the Othello community for 
their support.  I’d particularly like to thank Gunnar Anderson for making WZebra and its toolset for 
making the images in this document freely available. 
 
Finally, many deserved thanks go out to my two editors and good friends: Amanda Jones (writing 
style and beginner level feedback) and Edmund Yiu (technical and master level feedback). 
 
Othello: From Beginner to Master – Tools of the Trade 
Copyright © 2003, Randy Fang 
 
3 
Tools of the Trade 
 
Two Options – High Tech and Low Tech
According to the above context, answer the following question.
What is the author's favorite game?",not enough information
"Read the following article and answer the question.
Article: Copyright © 2003, Randy Fang 
 
3 
Tools of the Trade 
 
Two Options – High Tech and Low Tech 
 
Before we start, I’d like to take a moment to talk about what equipment you might want to get your 
hands on before reading this book.  As a minimum requirement, you’ll need to have an Othello board 
of some kind on hand to play a few sample games with yourself or preferably with an opponent to get 
a feel for the rules and principles that I will introduce. 
 
If you’re more technologically inclined , I recommend you download WZebra from the Internet 
(http://www.nada.kth.se/~gunnar/othello.html). You can use it to set up the positions presented in the 
book or to play a few quick games to get acquainted with how to play.  For beginning through 
advanced players, the lowest skill setting on WZebra will provide a HIGHLY challenging opponent , 
don’t be discouraged, WZebra is a very strong player.  You might consider downloading one of the 
“weaker” Othello playing programs to play with so you don’t get discouraged.  A much better idea is to 
seek out competition on the Internet.  There are several places that you can play online, here’s a short 
list of some of the sites that are available and the advantages and disadvantages of each: 
 
Gaming Site 
Advantages 
Disadvantages 
 
 
 
MSN Gaming Zone 
(http://zone.msn.com/reversi) 
Slightly “friendlier” interface than 
the rest. 
Can’t resume a game after a 
disconnection 
Non-standard color scheme 
Cheaters 
No Timed Games
Question: According to the passage, we can know that   _  .
Answer:",WZebra is a strong computer program
"Read the following context and answer the question.
Context: Can’t resume a game after a 
disconnection 
Non-standard color scheme 
Cheaters 
No Timed Games 
Yahoo Games 
(http://games.yahoo.com) 
Ability to resume games after a 
disconnection 
Timed Games 
Starting position is backwards 
Cheaters 
Kurnik.pl 
(http://kurnik.pl/en) 
Ability to resume games after a 
disconnection 
Timed Games 
Database of previous games 
Mostly Polish players – Not 
many English speaking players 
Playsite 
(http://www.playsite.com) 
Ability to resume games after a 
disconnection  
Timed Games 
Lack of players 
Vinco Online Games (VOG) 
(http://vogclub.com) 
High quality human competition 
Ability to resume games after a 
disconnection 
Timed Games 
Database of previous games 
Partially effective anti-cheat 
features 
NOT FREE 
Many people have attitude 
problems 
Othello: From Beginner to Master – Othello Notation 
Copyright © 2003, Randy Fang 
 
4 
Othello Notation 
 
 
 
Standard Starting Position 
 
On the left you’ll find the standard Othello starting 
position.  Each side starts with two disks in the 
center of the board. 
 
Standard Othello notation is based on a grid.  The 
letters run from left to right and represent the 
columns.  The numbers run from top to bottom 
and represent the rows.  This means that the top-
left corner is A1, the bottom-left corner is A8, the 
top-right corner is H1, and the bottom-right corner 
is H8.   In the standard starting position, black 
has disks at E4 and D5.  White has disks at D4 
and E5.
Question: What is the author's purpose in writing this?
Answer:",To provide information about Othello
"Read the following context and answer the question.
Context: has disks at E4 and D5.  White has disks at D4 
and E5. 
 
All the diagrams in this book will have the 
columns and rows labeled appropriately on the 
top and left edges so, while memorization of this 
grid will be helpful, it should not be necessary. 
 
 
 
Othello: From Beginner to Master – Rules of Othello 
Copyright © 2003, Randy Fang 
 
5 
Rules of Othello 
 
Objective 
To have the most discs at the end of the game. 
General Rules 
 
Each player starts with 32 disks at hand.  One side of each disk is black, the other side is 
white. 
 
One player plays their disks white side up and the other player plays their  disks black side up.  
The player playing their disks white side up is called white, the player playing their disks black 
side up is called black 
 
Black always plays first.  
 
Both players take turns playing valid moves into empty squares.  (Black plays, then White 
plays, then Black plays, then White plays, etc).  After playing a valid move, the appropriate 
disks are “flipped” to the current player’s color.  (See the following example for more details on 
valid moves and flipping disks). 
 
If a player has no valid moves– they must pass their turn.  The other player then plays a 
second turn in a row.  If the second player still has no legal moves, they must pass again.  
This means that a player can potentially move 2, 3, or even 15 times in a row.  When a player 
passes, they give one of their disks to their opponent. 

Question: What does the author think about the game?
Answer:",It's fun.
"passes, they give one of their disks to their opponent. 
 
The game ends when both players have no legal moves – in most cases this is when the 
board has no empty squares left.  In rare cases – the game will end because neither player 
has a legal move in the position. 
 
Valid Moves: 
 
Moves must be played to an empty square adjacent to a disk of the opposing color 
 
You must play a move that “outflanks” disks of the opposing color. Disks that are 
“outflanked” are flipped to the color of the disk that was played. 
 
 
Othello: From Beginner to Master – Rules of Othello 
Copyright © 2003, Randy Fang 
 
6 
A Simple Example: 
 
 
STANDARD START POSITION 
AFTER BLACK PLAYS E6 
 
From the standard starting position, black plays a move to the E6 square.  The E4 and E6 disks now 
outflank the disk on the E5 square and the white E5 disk is flipped to black. 
 
 
 
BEFORE WHITE PLAYS F4 
AFTER WHITE PLAYS F4 
 
As the second move of the game, the white player plays to the F4 square.  The disk on E4 is 
outflanked by the D4 and F4 disks and it is flipped to white. 
 
Othello: From Beginner to Master – Rules of Othello 
Copyright © 2003, Randy Fang 
 
7 
 
 
BEFORE BLACK PLAYS C3 
AFTER BLACK PLAYS C3 
 
Note that disks can also be outflanked diagonally.  For instance, for the third move of this game, the 
black player plays C3 and the disk on D4 is outflanked by the disks on C3 and E5 and it is flipped. 
 
A Few More Complicated Examples: 
 
 
 
BEFORE WHITE PLAYS C5
Question: What is the main point of the article?
===
The answer to the above question is",to explain the rules of the game Othello
"A Few More Complicated Examples: 
 
 
 
BEFORE WHITE PLAYS C5 
AFTER WHITE PLAYS C5 
 
In this position, white plays to C5 outflanking the disks on C3 and C4 and they are flipped.  Note that 
there aren’t any “chain reactions” , for instance, even though the disks on D4 and E4 are now 
“outflanked” by the disks on C4 (which just flipped) and F4 – they are NOT flipped. 
 
Othello: From Beginner to Master – Rules of Othello 
Copyright © 2003, Randy Fang 
 
8 
 
 
BEFORE BLACK PLAYS D2 
AFTER BLACK PLAYS D2 
 
Disks can also be flipped in more than one direction.  For instance, in the above diagram, white plays 
D2 and the disks D3, D4 and D5 are outflanked by D2 and D6 and the disk on E3 is outflanked by the 
disks on D2 and F4. 
Othello: From Beginner to Master – Othello Transcripts 
Copyright © 2003, Randy Fang 
 
9 
Othello Transcripts 
 
For full games, Othello transcripts are written in a “60 move” format.  Each played move is labeled 
with the move number that it was played on.  The middle 4 squares (the start position) are left 
unmarked as they were there when the game started.  Here’s an example of a transcript and the 
corresponding position after 10 moves. 
 
 
Exercise: Play through the transcript below and verify that you end up in the expected position. 
 
 
 
 
TRANSCRIPT 
FINAL POSITION 
 
 
In this book, I will often start with a diagrammed example position.  If I want to demonstrate some
According to the above context, answer the following question.
What is the name of the game in which disks can be flipped in more than one direction?",Othello
"In this book, I will often start with a diagrammed example position.  If I want to demonstrate some 
concept from that position, I will create a transcript in a similar format.  The disks that represent the 
original diagram are unmarked, and the moves that are played are labeled (starting at one).  An 
example of this appears on the following page. 
 
Othello: From Beginner to Master – Othello Transcripts 
Copyright © 2003, Randy Fang 
 
10 
 
 
EXAMPLE POSITION 
EXAMPLE TRANSCRIPT 
 
 
 
The picture to the left displays the resulting board 
after the indicated moves have been played 
Final Position 
 
 
Near the beginning of the book, I will rely heavily on move to move pictures to help you visualize the 
positions and what is happening without needing a board.  As we move on to more advanced topics 
(and you become accustomed to visualizing the resulting positions), I will start using the above 
transcript format to describe games and concepts. 
 
 
 
 
 
Othello: From Beginner to Master – Othello Transcripts 
Copyright © 2003, Randy Fang 
 
11 
Exercises: The following two games were played at previous World Othello Championships.  Follow 
through them on a real board and verify that you end up in the expected ending position.  If you didn’t 
you should try again because you must have misflipped. 
 
 
 
 
SEELEY VS. SHAMAN – 2002 WORLD OTHELLO CHAMPIONSHIP – FINALS – GAME 1 
 
 
 
CASPARD VS. MURAKAMI – 1998 WORLD OTHELLO CHAMPIONSHIPS – FINALS – GAME 3
Question: Who wrote the book?
===
The answer to the above question is",Randy Fang
"CASPARD VS. MURAKAMI – 1998 WORLD OTHELLO CHAMPIONSHIPS – FINALS – GAME 3 
 
 
 
 
Exercises: Find the valid moves in the following positions.  The following positions are taken from a 
game between former US Champion Raphael Schreiber and former US and World Champion Brian 
Rose at the 2000 US National Championships. 
Othello: From Beginner to Master – Othello Transcripts 
Copyright © 2003, Randy Fang 
 
12 
 
 
 
1. BLACK TO PLAY 
2. WHITE TO PLAY 
 
 
3. BLACK TO PLAY 
4. WHITE TO PLAY 
 
Answers: 
 
1.  D7, F1, F2, F8, G3, G4, G5, G7, H5, and H7 are the legal moves for black 
2.  A2, A4, B1, B2, B7, B8, C1, D1, E8, G7, and G8 are the legal moves for white 
3.  F2, G5, G7, G8, H4, H5, H6, and H7 are the legal moves for black 
4. B1, C1, D1, G1, G2, G3, G8, H4, and H5 are the legal moves for white. 
 
 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
13 
FOR BEGINNERS 
 
Othello 101 
 
I’d like to start with a metaphor.  In chess, the first step that a beginner would take is to understand 
the relative value of the different chess pieces.  A beginner’s book on chess might start by showing 
the readers a short table like the following.  If the total value of your pieces is more than the value of 
your opponents pieces then you’re probably winning. 
 
Queen 
9 pts 
Rook 
5 pts 
Bishop 
3 pts 
Knight 
3 pts 
Pawn 
1 pts 
 
Using this simple rule, a complete beginner at chess would expect to win more than half of their
Question: What is the name of the game that the author is writing about?
===
The answer to the above question is",Othello
