input,output
"OTHELLO:

Desdemona:

Who is Desdemona?",Desdemona is the daughter of Brabantio.
"FROM BEGINNER TO MASTER

Q: What is the first step in learning to play the piano?

A:",Beginner
"I have a test where I am given the following article, what is the answer to the question: What is the name of the book that is described as a few words? ?

Othello: From Beginner to Master – A Few Words",Othello
"A FEW WORDS

With reference to the above context, What is the name of the book?",A FEW WORDS
"Extract the answer to the question from the following context.
Question: What did I do after the 2003 US National Championships?
Context: After the 2003 US National Championships, I set out on a mission to do what few others have even",set out on a mission to do what few others have even
"attempted – to write a book about Othello. Former World Champion Brian Rose has been writing his

Q: Who has been writing about Othello?

Referring to the passage above, the correct answer to the given question is",Brian Rose
"I have a new situation: Bob and Andy are two experienced tournament players. They have played together many times and know each other well. One day, Bob was asking Andy about a book on tournament playing strategy.

But I can use this background: book for over 3 years and every time I asked the other tournament regulars about it, there was no new

What is an answer for this question: Who would be more likely to recommend the book to Bob?",Andy
"news on it. I finally decided that I was tired of waiting and started to work on my own book.

Q: What did the author do when he was tired of waiting for the book to be published?

Referring to the passage above, the correct answer to the given question is",started to work on his own book.
"While most of my counterparts are usually only playing against other top players, I play many games

With reference to the above context, What do most of my counterparts play against?",other top players
"Extract the answer to the question from the following context.
Question: Who are the people that are still learning?
Context: against people who are still learning, and I think I have special insight into the kinds of questions that",people
"they might have. I’ve put a lot of effort into the diagrams and exercises, in fact, many of the exercises

Q: What did the narrator put a lot of effort into?

A:",the diagrams and exercises
"I have a new situation: Two friends played chess for the first time. Ben played white pieces and got beaten by Dan, who played black pieces.

But I can use this background: in this book are based on positions that I consistently see beginning level players misplay.

What is an answer for this question: Which friend misplayed more often?",Ben
"Given the following context:

I’m sure that there are mistakes in this version. In fact, every time I go through it I find one more thing

answer the following question:

What will happen to the narrator after they find a mistake?",they will go through it
"I need to fix, however, I think that the form that it is in now is suitable for general consumption. I’m still

Q: What does the narrator think is suitable for general consumption?

Referring to the passage above, the correct answer to the given question is",the form
"I have a test where I am given the following article, what is the answer for the question: What is the name of the book that the narrator is working on? ?

working on the rest of the book. It’s taken me three full months to get through the beginner material. I",the rest of the book
"Given the following context:

imagine it will take me three months to four months get through the intermediate section, and another

answer the following question:

What will it take the narrator to get through the intermediate section?",three months to four months
"Given this review: ""three months to four months get through the advanced section.""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Definitely
"Once I finish all of this and re-edit it (add a table of contents, for instance), I intend to look for a

With reference to the above context, What does the narrator plan to do after they are done?",look for a
"I have a test where I am given the following article, what is an answer for the question: What is the job title of the person who will look into publishing their book if there is no interest from the established publishing community? ?

publisher. If there is no interest in it from the established publishing community, I will be looking into",publisher
"selling it (the thought of printing out copies at Kinko’s and shipping them myself has crossed my

Q: What is the narrator thinking of doing to sell the book?

A:",printing out copies at Kinko’s
"mind). Part of the reason I’m giving this away is that it’s good for the Othello community. I’m also

With reference to the above context, What is the reason I am giving this away?",it’s good for the Othello community
"I have a new situation: John is a famous author. He has written many novels. His latest novel is getting good reviews. His publisher asked him to write more novels. John agreed.

But I have a new situation: John published his first novel under the pen name Hopkins. It was a success. He then published his second novel under his real name. It also became successful.

Given the paragraph above, please answer correctly the following question: Which novel did better, Hopkins's or John's?

Hint: hoping that people will like it and it will generate interest in my book. If you have any comments, or",Hopkins's
"you would like to point out any serious errors, please feel free to do so. I’ve set up a Yahoo group

With reference to the above context, What is the narrator seeking feedback on?",serious errors
